Sentence,Label
Modi ser desh me kharab ho rha anaaaj ???? ???? iske bare me kya soch rhe hy aap,2
#aapsweep the only person who take #swachhbharatabhiyan seriously is #arvindkejriwal #cleandelhi...,0
"mai to itne games me b bas ninja turtles , street fighter , car race and mario khel kar khush tha baki games par dhyan dene ka tym kiske pas tha :-d",0
@someUSER those who justified mumbai police's incompetency for aug 11 are the same ones who supported delhi police's action at ramlila . . . ! !,2
"@someUSER i admire you with all my heart , lauren . may the god , that watches over the rest of the world , bless you and keep you x",0
maine kya galti ki hai mujhe kis bat ki sja de rahe ho tum,1
Rajiiv chowk par,2
Kamal ki movie hai kasam se dhum macheg dhum..Salman sir....i love you.<3,0
😱 Food poisoning,1
Apke niti se ane wale salo me bharat sabse age hoga... Or apki widesh niti bahot hi badhiya h...,0
i think my mom might buy me the box set bc i've been bugging her about msg and i told her i'd give her $30 if she got it before november 14,2
haven't watched ttoa with eng sub yet . gotta sleep now . gonna watch it tomorrow . (~o~)zz gud nite tlist .,2
Akib Jawad TU SULTAN KO FLOP KARAYEGA TU ABE JA CHUTIYA JA TU YHA SE NHI TO THOK DUNGA,1
are pagl to nhi ho gya h re tu kejriwaaaaal . . . ? ? main mudde se bhtk gya yr . . . .,1
suna hai pk movie anti hindu hai. yar kabhi anti islam movie bhi bana dia karo. islam ke naam par sabki nani mar jati hai.,1
3 . sabhi mantriyo ko unke yogyata aur imadari ke aadhar par mantri banaya,0
delhi university confessions ki jagah miranda house confessions rakh yaar tu is page ka naam ...,0
meri mom bhi mujhe aise hi pack karke bhejti thi and ajj bhi silsila jari hai,2
#twitition mcfly come back to argentina but this time we want to come to mar del plata ! ! ! http/URL,0
Sir kisko rply mat dena,2
"@arvindkejriwal aap jaisa koi mere karnataka me aaye, tho baath ban jaye!!!! #aapsweep #aapstorm",2
Mehak ho GUCCI jaise,0
ye tera 1 din ka love hai baad me tu bhi uske liye uski sandal ke equal ho jayega usse pyar kar jo tujhe pyaar kare naa ki usse jo tujhe 400 miles ka suffer karvaye :-p,2
Sakshee SharmaSharma ... kuttiya saali .... still 3yrs more 4me ... huhhh,1
my father still drives one . . . it's his favourite . . . and he has maintained it over a period of time . . . sach yar purani yaadein tazaa kar di . . meri sister mummy ki godh me and mai aage and that used to be fun . . kaash laut ayein beete din . .,0
school me 2 laddu milte they :d,2
delhi walo ager bjp ko vete diye to kuchh bikas ni ho sakta hoga to only man ki bat ya chay pe charcha aur kuchh ni milne wala,1
new die hard movie coming out feb 14 . . looks like bruce willis is going to be my valentines date:o),0
kachua sir k tanda dekh k to ache acho ki acting nikal jaye fir guddu kya hai . . :p,2
"Aapko hamari b umar lag jaye, itne bade fan hi ham",0
"rt @ssinsan777: @gurmeetramrahim har ek se achchi baat karna fitrat hai hamari, har ek khush rahe ye hasrat hai hamari, #msg3successfulweeks",0
dear garbage bin (faisal aka guddu) visited ur stall today at book fair ! ! merchandise is quite good . . . . grabbed two tees from those ! ! ! luving it . . . :p :d,0
Salman vai aap sadhi krlo plzzz...,2
Salman Bhai esi post ka intezaar tha thank u bhai shukriya Maherbani.,0
You know the situation of Indian economy is bad when Sonia Gandhi has to go to a local hospital .,2
yaar confess karte ho ya torture . . . itna bada bada confession,2
bc dusre section ki monitor itna ganda face banati thi jese chalk nhi uska hath maang liya ho,1
"looking forward to going to carrow rd tonight . last time we were there , bale scored 2 and we were 3rd . do not want extra time though",0
nicesssssss ........... kise jamane mai bandariya hogi . tabhe she knows very well,1
"#msgincinemas where r those liberals who stand up for freedom of expression? a few gps against #msgthefilm can stop from its screening.""",2
mere cmnt pe na koi like krta na rply aisa kyu :(,1
ek dum sahi,0
le kr aa jaiyu,2
aur ye gaya guddu ka bapu boundry k paar . . .,1
"grassroot level change hona chahiye...thik thak budget to hai..speech was gud,bt practical implimentation is imp. #railbudget2015",0
Are aaunga,2
"can't believe @someUSER is only 2 days older than me ! can't wait to see him again tomorrow with @someUSER at fort canning , singapore ! !",0
Hm??,2
Ok salman bha!!!!,2
"when i teach a basketball in my own school , we're gonna spend the 1st day watching larry bird videos , &amp; the rest will take care of itself .",2
@someUSER ima ask for the day off ! im not gonna miss watching breaking dawn for our 10th month anniversary ! (:,0
"@pritishnandy @chinmaykrvd #beefban sir, thatways lot of people r employed in trafficking of woman also, but its not right.",1
kis country ka he or iska nam kya he ?,2
"Aatma aur mun ki pavitrata ki jhalak hai is beti ki aawaz mei, khush raho beti.",0
loksabha chunav ke time mamta banerjee ki delhi wali sabha me bheed nhi juti to beemari ka bahana bana liya tha . ye hain anna,1
"pakistan mein kal #pk movie ka release hona boht mushkil hai, kuch log dekhne jarahe hain, agar release hogai,... http://t.co/egebazwnmn",1
jisne 60 saal me desh ki garibo ka dukh door nhi kiya uske hee chmche pm se kuchh din me din me desh ki sari samsyaa hal karne k liye kos rhe hai,0
bhai kha ho?,2
chipke to the sab log but we #lost #game:-(,1
rt @aashish81us: desh virodhi log modi sarkar k #landacquisitionbill ka virodh karwa rahe hai http://t.co/8vxpoypghc,1
"the question is not #whereisrahul, nor is it is #rahulonleave? the question is how did modi know a day in advance? https://t.co/iwoh5r0zmg",2
Notg allowedg tog celebrateg ?,1
now y'all know all that halloween candy is gonna be on clearance tomorrow . . . you can save it for valentine's day :),0
ha sab to thik h but ye virat kohli ko samja do lawandiabaazi chhor ke thoda run bhi bana le,1
"ek baar jarur try kare . . ,",0
"just been to @someUSER with @someUSER for 1st time since blake . walked reggie &amp; anna , 2 really sweet dogs .",0
mario ki shaadi karane me kitna maja aata thaa . . . .,0
nice . . . . news yar,0
Hmm .. Kisne suggest karfiya kya,2
bhai voh owaisi ke chamche hi is fake news ko failarahe hai,1
salman khan nice,0
required rate of pakistan is now exactly same as their total unemployment rate. #indvspak #cwc15,1
"@5forty3 @mrsgandhi delhi hs chosen ths mayhem.nw will pay for it. aap mla amanatullah says batla encounter fake, probe again. #delhidecides",1
agar modi ji 10 saal pahle pm bane hote to ham aaj 20 saal aage hote,0
"fuck halloween . fuck thanksgiving . fuck my birthday . fuck christmas , the new year , valentines , st . patrick's , april fools . fuck all of that .",1
"exhausted but buzzing after day 1 of #yalta2012 . need sleep , vitali klitschko speaks tomorrow , might challenge him to an arm wrestle . . .",2
Web development,2
Ap sache wale being human ho bus apki yahi bt sabse Alag h...ap Surat se kuch Jada smart nhi PR dil se ess pure Bollywood m sundar ho....saf pakk dil h apke pass Jo etni dou,0
😘thanq maam,0
my trick or treating will happen tomorrow night . . at walgreens . . . . in the candy aisle .,2
abe kachua sir / kushwah sir to hindi pdhate they na,0
Han but bahut bada h yaar,2
dili bole dil say kejriwal fir say . well wisher from kashmir,0
"Dude sexual preferences apart , anybody who would be caught in the act will be joke of the day for months to come P",1
arvind ji very good men,0
"Tera bf or frnd , dono hi is cnfssion pg pe honge ... khud hi bta denge tujhe ...",2
to kr liya,2
dharti pe vinashkaari tatv hai ye . . . ban all udbilao before worldcups,1
I am good,0
sallu mia bhul gye sab kuch yaad nhi unhe ab kuch,2
Intezar kab tak hum karenge bhla,2
rt @bhateketan: someone who never works wants to go on leave. strange. #rahulonleave,1
Arree yaaaarrr,1
@gurmeetramrahim #msgincinemas woow.......pitaji.....mazda aagya.....mst movie....,0
Aur jaaneman,2
Just bought this phone as I got a good deal.,0
faisal whatsapp par bhi group banao hum mumbai wale bhi mobile pe maza le gags ka,0
many records broken.now break the record of performance.outperform &amp; set an example.#aapstorm,2
championship thurs @ blue raider hoop camp today ! ! ! closing ceremonies @ 3:45 in murphy center ! ! ! autographs with all players !,2
Acha proposal wali,2
"i'm not gon believe that victor cruz is the real deal until he lines up outside , no slot , and doesn't disappear like he did sunday",2
haha...i slept with peace having confidence that aap will sweep by the time i woke up...i was bang on....#delhidecides #kiskidilli .59 seats,0
watching this drew peterson movie on lifetime just to spark conversation in miss mapes class tomorrow @someUSER @someUSER,2
did #aap win because of #bjp 's faults or because of its potential? #aapsweep #aapstorm #delhidecides,2
Realy kaha par,2
#saziailmiissounlucky she could give 'friday the 13th' a complex! #aapsweep #delhidecides #feb10witharnab,1
yanha kaunsi train khali chalti hai .,2
everyone talks about eli manning being the best in the 4th qtr . jay cutler has the best qbr rating in 4th qtr in the nfl #getsome #dabears,0
Atb for presentation,2
huppppp . . . . jab first chapter bhul jate h to first love ko bhulne me kya paise lgte h,2
Bhai movie main social message kya hai batao,2
battle city . . . . tank sapne me aate the . . .,2
sara media bika hua h .,1
ye apni gf se puch na ... -_- humse kyu puch rhe ho .. /,2
I don't know if it is related ; Yesterday Civil department and Chemical department had a function in the Gulmohar building . One of the admins/moderators could be a graduating student from them .,2
india match uae hi khelega toh uae hi jeet jayega... #indvsuae,2
to kya ab ye maan lia jaaye ki guddu ab praathmik kakshaao se upar uth gaya hai ? ?,2
True Story and ab normalization ne engineering colleges ki b maar li (,1
kal phir train mein wifi lagne ki baat hogi.. nayi bullet trains chalegi. achcha khana milne ki baat hogi. #railbudget2015,0
awesome acting (y) :p,0
isme unemployment newpaper bhi latka dete . . .,2
Modi ji bharat ki badhti abaadi ki fikar kijiye Jo bharat ko patan ke maarg per lejaa rahi h,1
rt @ghantamantri: #aapkidilli #kiskidilli #delhidecides bahut baraak baraak kar raha... http://t.co/pgg8pw5vmh,2
yr tre gags pe comments itni jaldi top pe pahoch jate h k me kya likhu soch hi ni paata :p,0
jisko dekho modi ko chalenge karta hai dimag kharab ho gaya hai media ka bhi or in kutto ka bhi,1
ya . . . really true . . . . . . missed those days,1
but bina mehnat k contra mein 30 life mil jaati thi . . . :-d,2
sahi pkde h,2
ek second k liye laga ki guddu ki maa ne gaali di ! ! :p,1
Ek project mil chuka h,2
ise kahte h super mind,0
To ap ka karoge ab di?,2
salman bhai jaan friend request plz,2
kab admission form bat raha hai :p,2
Sab thik hi hai,1
Abhi situation thk,0
wwf was also a part of study material . . ;) . . . john cena ke sticker hain kya ? ? amazing :),0
Namashkar akki,2
hahaha . . . solid hai re baba,0
c'mon india its tym to show why we are world champions #indvssa lets bring the glory,0
bjp ke ashwamedha ke ghode ko delhi mein @arvindkejriwal pakad kar dikha diya!! #delhielectionresults #5saalkejriwal,0
all girls are not like u think but its jst u met wrong girls at this tym !!,2
Salman muzhe mere sawal ka jawab cahiye hum nich to tu kon akher tu bhi muslim h na most reply,1
Hello...salman khan ji....,2
thumps up for u ! we need to #BADLAAV this corrupted congress !!,0
"rt @reeteshanand: ttes to help senior citizens, differently abled and pregnant women obtain lower berths @sureshpprabhu #railbudget2015",2
Mai WO pars buy Kar k use mai paise rakh k use gift reaping karwaa k eid waale din namaz k baad jab Ammi se gale milkar eid Mubarak karungi tab mai ye gift unhe dedungi,0
Bharat mata ke ji,2
teri picture dekhne jao nah maja a aajaatah hai such iiiiiiii,0
"Hub bhi school me students ko dekhte hu, tum subki yad aati hai",0
"20 rs me 5 ka game , 10 ka manja 3 ki pattie aur 2 ka banta aa jata tha . poora din ban jaata tha jis din 20 rs mil jaate the :)",0
jb aana hi ni tha to,1
"october 27 , completes the its 61 years kenneth "" kk "" downing jr . , guitarist in the british heavy metal band judas priest http/URL",2
"just finished rehearsing with @someUSER - we are ready for the kendrick lamar show tomorrow , shout outs to wvu . . . http/URL",2
Ho jygi,1
#landacquisitionbill kirit shomay #ndtv pe khate he ke bjp ko prithvi raj jene kanon ke bare hame sujaw diya me kahoga kirit sharkar me ho,2
"#beefban is essential, now they should pass a bill to #bandeforestation.",2
@someUSER i've only just begun ! i miss putting in 10 hour shifts on 3rd floor paterno . . . not really though .,0
Happy holi to you too bhai,2
Han wahi wahi,2
can't wait to see 'flight' with denzel washington on tomorrow ! bam ! ;-),0
Kec college,2
bhai just ek baar hi bol do,2
mere b sare school k model papa bnate the,2
raina....ab yahan v dil jeet lena bhai #indvspak,0
"the ambition of nadal , the knees of ena sharples and the liver of george best . my recipe for saturday tennis . #5-7 5-7",2
"CBSE never delays marksheets U pervert !!! Must b ur School , s fault .",1
me toh cassette reverse karke check krta tha k new games nikal jaye :p,2
""" birthday cake "" is gonna be the song leading us into 4th quarter , count it .",0
Hafta bht h bhai,2
l ki power leke end krta h bc :d :p,1
#jaitley gave rs 2 lakh crore bonanza to #corporates:#chidambaram | #unionbudget2015 ... - http://t.co/xnagds58xp #newsintweetsindia,0
1300 bhi kam hote h ?,2
board pe jo problem hain wo such main tough dikhta hain :p,1
yeh paanch faal tumhein beef faal fe kam nahi lagenge! #beefban #lisp,1
vote kisaano se batore...or ab sarkaar chahti hai uhni ke haat me aa jaaye katore... #landacquisitionbill #annareturns galat hai bhaiya,1
seriously -_-,1
Uske baad last mai apne liye kuch lelungi,2
bhai ko zrur koi kam hoga,2
"jo bhi ho arvind kejriwal ji , pure india ko apne comedian style se entertain bahut kar rahe hain .",1
#aapsweep modi:-hello kejriwal merapas 3 seat hai kya karu kejriwal : olx per bech de 😝😝😝,1
pure ke pure number guddu ke baaye haath ko,2
Very true .. Meri b papa se bs haan na mein baat hoti h .. D,2
"arvind kejriwal is educated man not like some people who do politics for money . . . b . j . p . & congress are two side of same coin , no enquiries against congress scams during 6 years government of atalji & now mr . modi . . . be fooling public . . . public of delhi is not foolish . . . very understanding . . . only aap has hope because for public grievances arvind kejriwal slept on road in delhi for winter night , no politician in india who taking panes for public . . . only making money by doing scams & corruption , every office is busy making money from bribe . . . so , vote aap . . . freedom from corruption .",1
"rt @vkumar849654: @gurmeetramrahim papaji jo meri hisse ki khushiya h or jo aane vali h vo meri mumy k… http://t.co/p6ipngz8f7"" #blockbuste…",2
#indvspak. who ever wins...... match. should match the standard. of this battlae royaleeee!!!!,2
wtf uska college mention karna imp tha ya points bna raha hai bhai ......... -P who knows miranda ki sabse dumbest ladki teri gf ho .... ;-),2
ðŸ™ŒðŸ™ŒðŸ»,2
Hu,2
my best actress,0
Saare jahan se achha hindustaa hamara,0
"my #mufc xi for super sunday: de gea , rafa , rio , evans , evra , clevz , nani , young , roo , chicha , rvp . what about you ?",2
Mail dekhle,0
Abdul raheem bhai iske nhi samajh aayga mu bhat hai sala maners to hai hi nhi isme isko samjhan khde ke aage been bajana hai,1
kejriwal zindaabaad,0
rt @tusharg: so now can bars in mumbai serve beefeater gin? #beefban,2
another subject for students to get fail in . . kapoor saab kya kahenge . . ? ? ? /,1
amit g is to confident . . lagta hai sab aata hai . .,0
Use Western style toilet .. Mobile ke Girne ka koi chance nhi D,0
chl ht salman,1
modi kuch bole wo sb sahi ho jata h . . . . . bt agr koi aur politician kuch achcha bi bol de toh sare bjp wale uspr attack kr dete h . . . .,1
firse sob chork bhagoge to nahi . .,1
bhai i m aslo big fan of you .. i m frm kashmirr ..apka bajrangi bhaijaan main kaise experince Raha ..woh bhi kashmir main shooting kr k nd pls replyy aur kaise laga humra kashmir,2
"when i was a kid , even i use to dream this kind of school . . . guess i am not the only one who imagine to live life in a parallel universe . . .",0
Sabra ka fal meetha hota hai.,0
Very true but kya kare .+hi_suffix Bedar duniya bedar logh kya kar sakhte hai aj kal tho har koi bina dil k ghumta hai ( but u r very nice person bro )),0
Se,1
#aap #delhidecides #arvindkejriwal #uturn vote for freebies. 5sal kejriwal fir delhi banega paschim bangal http://t.co/mzvknqeq3w,2
aus jeetega,0
reminded me of my college egd clsses . external viva wale din kaha ki sir raat ko sheets padhte hue galti se mombatti gir gayi aur 7 sheets jal gayi . . . jali hui sheets par 10 mai se 8 mile :d acting faad kari thi lekin :p,0
tb to har pakki,1
"DU sucks .... Bkws h DU ... saale ek se bda ek suttebaaz , sharabi , awara yahi milte h all over india .... Srf naam h DU ka ....",1
dollar gains on euro amid greek woes: new york - the euro sagged against the dollar on thursday as the revised g . . . http/URL,2
app desh ka dadkhan jaihind,0
woowww! bajrangi bhaijaan superhit hogi... meri bhagwan se prarthna he ki yah film super-duperhit hogi...,0
Bhai maa aap ka sabse bada fan puri duniya mein aur bhai jodhpur sha ho,0
Mil gya,2
"I dont believe that this confession has made by a \ "" GIRL\ "" ... Tere saath aisa nahi hona chahiye tha yaar , galat hai ye ... Tere saath to ek ko nahi sabko physical hona chahiye tha and then teri tashreef pe laat marke chhodna chahiye tha tab theek hota ... > (",0
"afc away fans on saturday . all this stuff about the 'she said no' chant . it's bollocks . when he has the ball , just turn your back on him .",1
we r blessed with tiger biscuits :d :d,0
kya kar ra hai aaj kal ?,2
Bhai i'm so sad mje yh song site pe nhe mil rhamai kese sunu yh sng,1
mjhe bol,2
"community , cougar town , friday night lights , glee , mad men , modern family , six feets under , skins , terra nova o the wire ? ? ?",2
kya hua...bhaijaan....,2
aur sabe dad yeh wali cassette hi lete the . . .,2
Priya chawla Hny to you n ur family Stay fit n fine,0
jo kabhi bhi middle berth kholke so jaate hain unke liye koi rule banaya hai kya?! #railbudget2015,0
Nhi huyi ?,0
"man , i'm sorry for the death of mr . mitch lucker . may he rest in peace .",1
modi ji bangladash sa sab hendu ko india ma la chaleya plz eha musalman hendu ka vume dakal karlata ha or ve bahot aneti karta ha,2
background music plz..Phul mangu na bahar mangu Mai to sanam tera pyar mangu ?,2
Kabi pyase ko paani....pilaya nahi Chup rah,1
aap ke kutte bhi bhokne lage hain . khas kism ke pakistan aur bangladesh des se magaye hain arvind khujliwal ne,1
kisi me bhi khoj life bbc . . iss blog ke selected statements . news par no one believe . .,1
@someUSER we have a similar circumstance in australia . jan 25 is australia day &amp; many first peoples call it invasion day .,2
"when india score their first boundary, the place is going to erupt. #indvspak",2
@gurmeetramrahim #msgrevolution yessssss mere sohne rabb satgur g ye sirf aur sirf aap g ki rehmat se hi ho raha h g #blockbustermsg,0
Han😡,2
harami,1
Janab,2
Salman bhai aap meri coments path te he,2
achche log aane wale hai :) #aapsweep,0
class 2 me to 99% adhe class ko aate hai . . . tu sach me mature nahi hai,1
ye india hai boss!! sunglasses emoticon #indvspak #cwc2015 http://t.co/gwop2jhlt4,0
"i noticed all the huddlestone haters were conspicuous by their absence yesterday , particularly when he assisted bale for the 1st goal #thfc",1
l ki power leke end karta hai contra . . . . . . hahhahahahh . . . . too good yaar (y),0
"virat: koi nahi! well played shikhar! shikhar: bc, tu aa pavilion vaapas! batata hoon tujhe! #runout #indvspak",1
loveee u saluuuu,0
Miranda chodkr kuch or discussn b krlo kyu paka rhe ho subah se campus me or b clg h uff ...,2
dil garden garden kar diya,0
kaise krenge yrr// twitter pr ya fb pr sum! tell me,2
"rt @cricketsagar: sakshi maharaj ne 4 bachche paida karne ko kaha tha, 4 seats nahi.dilliwale galat samaj baithe. #delhidecides",2
"i m wearing full black tomorrow to office, mourning the loss of the little hope i had left for rahul gandhi #whereisrahul #rahulonleave",2
kuch udbilaoo uncle bhi hote hai . . . . unhe to sahi se ghoor bhi nhi sakte :o,2
Modi ji desh ka nam bda rhe he.,0
Kya? ?,2
laker fans should take it as a sign that they got beat by the sacramento kings twice in the preaseason . . . and their starters played the 4th,1
"jay paterno , former penn state assistant football coach and son of joe paterno , said sunday night that he was at an event when a . . .",2
wide k liye addha ! :) :),2
"kamaal hai , kisi ladki ne abhi tak blackboard ka sum solve nahi kiya :p",1
Agar main sehmat hun Jo b phle se hai to ?,1
Sala.. Terko dusron k time ki kimat mi hai..,1
"jo bhi karo, jaise bhi karo, jab bhi karo.. bas harna matt! ;) :d #indvspak #cwc15",2
pictures of #overdoser 1st anniversary party at safe house #thonglor are online ! check it out ! http/URL http/URL,2
girls bas school mein top karti hain . baaki saari life ladke top karte hain . ek padhai mein top karna he sab kuch nahi hota . hame aur kaam bhi hote hain . . :p,2
shyad aap busy ho tbi aap rply nhi kr rehe ho nhi to aap jrur rply krte...bt m tb tk wait krungi jb tk aap rply nhi krte...,0
insa-allah ye sare record torogi,0
bas tab se he chinese maal pe se bharosa uth gaya tha,1
Bhai ko kisi ne kuch keh dia kia,2
@someUSER is she on the people's choice ballot ? i've only looked at castle categories . but may have to venture out . . .,2
"Jnki gf nai h , wo kya kre in 2 minto+hi_suffix me(andhere me chupan chupai khelein , sale admin) ??",1
".@postwar @vishalmathur85 true that. #starc is freaking scary. watching bhuwaneshwar kumar now, looks like a spinner. #ausvnz #indvsuae",1
salaam sir kaise ho sir plz inbox per message karo,2
Bas rename kar Dena .. Gk ke liye game h ..,0
Mandir gaya tha main ..,1
Or kafi useful b,1
the landlord from will ferrell . avi http/URL via @someUSER this will cure the monday blues . funny funny shit,0
Jana toh saath mein hai,0
Salman sir. Aapki life ke 2 mint meri life anek mint me khushya la sakte he plz sir. Mil lijiye,0
salman aapne 3:30 bola tha,2
can someone give me a lift from pope pius school to hillsborough on tuesday night at about 7:30 please ! anyone ! money will be involved ! ! !,2
Gr8....I love salman.....challenge bhi good or challenge dene vala bhi good........,0
just watched the campaign with will ferrell and zack galafianakis . . . good fun for a wednesday . #hilarious,0
dekh liya bhaijaan.. mast h,0
great ak sir . . aap zindabad . . we have to first ensure on evm machines because these people are filthy,0
i don't even dare to miss a post of garbage bin :),0
"@someUSER 1st one = thunder cats , the skull with fire = ghost rider and i think the one below the skull is captain planet :)",2
student 3 aur school bag 2 . . . . bahot na . . . insaafi hai ye . . .,1
in games k b apne alag maje the . . . .,0
"Aesi hota h D Real story p bach gae betta , mai to mast ek chata to maarti hi ;) coz grls majority D",2
aur air hostesses aa sakengi train me?? #railbudget2015,2
@gurmeetramrahim #msg3successfulweeks congratulations pitaji..and very good morning..keep on showering your blessings on this world as u do,2
"crazy how sports economics have changed . larry bird's rookie deal was 5 yrs , $3 . 25 m total . 6th pick damian lillard will make $3 m this yr .",2
'choke' de... 'choke' de oo india #indvssa #cwc15 http://t.co/wcgdpncxl7,0
No problems Salman Bhai aapka koi bhi kuch ukhad nahi sakta bajrangi Bhai jaan suparhit movie hogi,0
bhai hamare tilak nager ki shaan hai jain book depo,0
true story and ab normalization ne engineering colleges ki b maar li :(,1
Wohi ke kya karna bai,2
khash ap mjy ad kr kr ....i know esa ap kro gy ni....,2
Jai hind shar,0
Love you salman bhai ...missing. .you ..salman bhai,0
bhut talented log h india m,0
amit ji missing picture mei . . .,2
so sad yr ... . prents supprt ni krnge t or kaun krega ... . dnt wry dea ... . god bless u eva ....,2
#msgmegamovie ..the anti evil movie #welovemsg #msgincinemas,2
wonder if chris christie can cancel valentine's day and move it to april . . flowers are cheaper !,2
World best pm narendar modi Ji mira bhart mahan,0
hmmm,1
'we will fight back'- congress. bhai rajneeti hai yeh #marykom banne ka course nai. socho why people dont want you!! #delhidecides #aapstorm,1
tushar gupta mukund sharma yaman sharma piyush yadav aisa lg raha he bandaro k pinjade se nikal kar aa raha hu . . ;),1
salman bhai sab aapko millna chahty hy but meko aap miloo ya na millo bass duaa dyna our aapke jyis meko bing human trust nikal na hy help me takee our bachho ko help kar sako mai bass duaa millaa,0
Sir aap humanbieng chalate hai aap paise dete kab tak jab tak aap hai.mai apko aisa rasta bataunga sab karodpati ban jayege.,2
Okay ??,2
Aise hi jyada nhi the but khel li,2
sabme 1 talent hota h . . . . . . ye sabse different hai,2
sab se bada my hun salman khan ka deewana,0
lol bhai kb aayoge muje lgta h server krash ho gaya bhai,2
"andre's wigan warning - #coys official site wigan might currently occupy 15th place in the premier league , . . . http/URL",2
"@someUSER this sunday . . . revenge , and a game winning td for kyle williams . we have already destroyed the last 2 teams and we'll keep rollin",0
#blockbustermsg @gurmeetramrahim uuuuuuuuuuuuummmmhhhhhhhhhaaaaaaaaaaaa guru pappppaaaaaaa jiiii http://t.co/yvmb56gfw1,0
Salman g agar ye msg dekh rahe hoto reply karo plz,2
Nahi,2
or vaise bi ye news fake hain aap apni email id send karo main aapko proof send karta hu,2
This semester way like hell,1
Agar aaj Maine pyar kiya relies hoti to kitna hit hoti?,2
mujhe apna bussnies start Karen keep lite 5 lakes ki jarurat hai,2
guddu itni paas se tv dekhega toh aankhe button ho jayengi !,1
modi sir....you come bihar.because neccessary to bjp government in bihar.......har har modi ghar ghar modi.....,2
Bangladesh meh apko chahne bala bohut khub..,0
. . . . . . . . . aur wo bolte hai ki acting nahin aati,1
gajab ki films aati hai on friday and sunday,0
bhai is best bhai aap ki film kamayab hogi only salman bhai,0
#pk movie dekhne aaya hu. #respect,2
free wi-fi. yayayayaya #delhielections #aapsweep #aapkidilli,2
#blockbustermsg savdhan ye marketing waloki chal bhi ho sakti he,1
Salman khan Teri maa ki chuth aur Teri bahan ki chood,1
Butg mai soch rha hun ek aig / ml,2
are mr jyenge,2
Tu ni gya ??,2
Hum bajrangbali ke bhakt h mr jayenge magar jhoot nahi bolengei miss you broi like you bro,0
Kuch nahi ... abhi toh bas aise tv dekh rha hoon,2
Tu chala jayega phir? ? ?,2
satya vachan,0
Di ksi h ?,1
aur wo dd1 pe raat ko aane wala new year musical show . . .,2
American+en_suffix president ke India aaney pe kuttey tak ameriki+hi_suffix hi istemaal hotey hai uski security mai aur yahan mumbai police NYPD ka kaam kar rahi ai new york mai .,1
uska suit le kr jana h to,2
Nahi mam,2
#iin has chosen #rahulgandhi as it's brand ambassador. he's not on leave he is preparing hard! #rahulonleave #congress,0
i still got couple of them . . . in working condition :p,0
aur ye guddu chala game shop par :p :d,0
rt @princeinsan63: @gurmeetramrahim #msgincinemas papaji i am ready to go to pvr hip hip hurrrrrrrrrrrrrr owwwwweewweee,0
"i'll be giving 2 presentations @ the center for photographic art in carmel , ca on sat . 11/3 http/URL #photography",0
copy bhula gaya ! !,2
you changed not only delhi politics but also indian politics . you are real hero of indian politics . i salute you arvind sir . i hope you are the next c . m . of delhi .,0
maje aa jaate ye game khelke,0
But u don't have what a man has .. ðŸ˜œðŸ˜,2
2007 mein hmare board exams khatam hte isse pehle india wc se hi bahar ho gyi . . :(,1
pata nhi ye man se mante hai ya sirf adv .,2
Han Maine dekha,2
l power se contra end ? guddu's version of handicapped match . :p,1
kamaal karte ho Q intzar kra rhe ho,2
esa ajeeb naam wala b sab jagha hota hai jise mummi b us hi ajeeb naam se bulatin hai . . very true . . . :p,0
sala #olympics k game bhare rehte the isme . . . . dhokebaaz >_<,1
please kuch mat bolo,2
secularism. ye kya hota hai? #beefban #bjp,1
Ek bottle old mong pike to tu g_ _ d k take khul jwnge,2
Bhai acha mazzak banaya aap ne aaj :-W,2
hahaha . . . acting tere bass ki baat nhi ! !,1
lagat hai salman serf aapka he time qeemty hai hamara nahi?,1
"they may have a superbowl in dallas , but dallas ain't winning a superbowl . not with that quarterback and owner . @someUSER @someUSER",2
@someUSER haha black dahlia was my favorite song by them too ! ! i miss you too . are you still going to miss may i ? ? :),0
Sabaka bhai salu bhai,0
Bhai tym ho gya...,2
Proposal ki,2
end wala paragraph mast h bss isi k bharose m apna revenge ni leti,2
veerji mainu aapse baat kar ke hi chain aayega,0
laufed . . . first u hav to correct ur english baad me sochna use ! ! !,1
headlines: nadal confirms for mexican open in february: rafael nadal plans to play at the mexican open in februa . . . http/URL,2
"#aap has to thank kiran bedi for this...the minute she stood as the bjp candidate, everyone chose aap over #bjp #aapstorm",1
"Mera bharat mahan , Modi ji saccha insan, Des ki Dilayange sahi pehchan.jai hind jai Bharat",0
ab pachtaye hot kya jab jhadu lag gayi tez #aapsweep #kiskidilli #haha,2
bed news .,1
northern lights sale on thursday; great pedigrees all the way through the catalogue ! genomics the full packages ! view catalogue online !,0
Call kar,2
i was also not able to understand d matter of sliding down of rupee . . .,1
Ho Gaya tere susre,1
salmaan sr...... Aap ne khud kaha k aap hr cmments khud read krte ho..... so kabhi reply ku nahi krte,2
salman sir aap kider ho plz message karo na mujhe plz,2
Modi sir welcome aapko or hum aap jaise sir ki jarurat,0
paas wali class se chalk aur duster laane k bahane hum to pure school ka round maar k aate the . . .,2
jai ratrpita,0
i sapourt u saloo bhai i hole u r bajrangi bhaijan it's going,0
@gurmeetramrahim wowwwww..burraahhhh #msgincinemas great papa ji...:),0
But hw can u juss only watch serials..,2
Tu aur mai ? ?,0
